215207378115362522,"Liberty returns, locked and loaded"
568823163672182925,"And stay down!"
573900762049364483,"Eagle-1 reporting for freedom-lovin' duty"
584679485834963970,"Eagle-1 is in the skies"
1247941590015333356,"Another one bites the dust"
1456960252248190624,"Eagle-1 returning to the destroyer for resupply"
1593441127736670065,"Eagle, back in the fight"
3601638162041368598,"Nailed em!"
4101317775934034092,"Eagle-1, returning to the destroyer for resupply"
4172152991299127099,"Eagle-1, armed and ready"
4218477892743369297,"Eagle-1 ready and rarin' to go"
5333583548607305868,"Eagle-1 reporting in, fragged and good to go"
5472890945556058278,"Uuunleashing democracy!"
5786867730735499085,"Here comes the cavalry!"
5845701754989500269,"Now that's what I call liberty!"
6492192994060449460,"Right on target!"
7494029171263320890,"Boom, target down"
7657281426857475474,"Comin' in hot"
7870350564059393619,"Delivering payload"
8134617247243004588,"Eagle-1 leaving combat zone to resupply"
8196653242954451273,"Attack underway"
8560907627265348935,"Eagle-1 leaving combat zone to resupply"
9007084584787577213,"Eat liberty!"
9427131357671955719,"Got em!"
10999905052955931108,"Eagle, back from the nest"
11102526218647964167,"Democracy's on its way!"
11824192191437796246,"Eagle-1 rearming, be back shortly"
12318857474017241243,"This is Eagle-1, we're back in business"
12401819022628421054,"Eagle-1 rearming, be back shortly"
12484589361051390804,"Eagle-1 withdrawing to rearm"
12574216746213182867,"Eagle-1 reporting in, hauling 16 tons of weaponized freedom"
12763516916690476816,"This is Eagle-1, cleared for action and awaiting orders"
12956690472254913659,"Super Earth's finest, back in action"
14026315732451157916,"An Eagle never misses!"
14516174099778041542,"Eagle-1 withdrawing to rearm"
15301205157963358383,"Eagle-1 ready to unleash liberty on your command"
16383213048542505876,"Eagle-1 reporting in, ready to bury some aliens neck-deep in liberty"
16419582240023741944,"Administering freedom!"
17469505036075513198,"Liberty dispensed!"
18284032563524632177,"Enemy down, baby!"
9856424028499199541," Activate the termicide tower no matter the cost"
11885867787817857966," All the galaxy looks to you for salvation. Let nothing stand in the way of liberty"
5092575794536360079," Another step towards galactic liberation"
1262065913530499145," Another triumph for managed democracy. May liberty guide your safe extraction"
13258847156449961173," Another victory for the right side of history"
4478007769546014552," Defeat is a luxury we can no longer tolerate. Prepare the next deployment at once"
3008708292840303355," Defeat is but the catalyst of its own rectification"
